iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 2840, 160, 160, 11840, 0.9466666666666667, 0.9466666666666667, 0.9866666666666667, 0.9333333333333333, 0.9786666666666667, 0.021333333333333333, 0.9466666666666667
0, Under80, 0, 104, 56, 56, 584, 0.65, 0.65, 0.9125, 0.5625, 0.86, 0.14, 0.65
0, Over80, 0, 2736, 104, 104, 11256, 0.9633802816901409, 0.9633802816901409, 0.9908450704225352, 0.954225352112676, 0.9853521126760564, 0.014647887323943662, 0.9633802816901409
1, All, 160, 2838, 162, 162, 11838, 0.946, 0.946, 0.9865, 0.9325000000000001, 0.9784, 0.0216, 0.946
1, Under80, 160, 77, 77, 77, 539, 0.5, 0.5, 0.875, 0.375, 0.8, 0.2, 0.5
1, Over80, 160, 2761, 85, 85, 11299, 0.9701335207308504, 0.9701335207308504, 0.9925333801827125, 0.9626669009135629, 0.9880534082923401, 0.011946591707659873, 0.9701335207308504
2, All, 154, 2873, 127, 127, 11873, 0.9576666666666667, 0.9576666666666667, 0.9894166666666667, 0.9470833333333335, 0.9830666666666666, 0.016933333333333335, 0.9576666666666667
2, Under80, 154, 128, 63, 63, 701, 0.6701570680628273, 0.6701570680628273, 0.9175392670157068, 0.587696335078534, 0.8680628272251308, 0.1319371727748691, 0.6701570680628273
2, Over80, 154, 2745, 64, 64, 11172, 0.9772160911356355, 0.9772160911356355, 0.9943040227839088, 0.9715201139195444, 0.9908864364542542, 0.009113563545745816, 0.9772160911356355
3, All, 191, 2851, 149, 149, 11851, 0.9503333333333334, 0.9503333333333334, 0.9875833333333334, 0.9379166666666667, 0.9801333333333333, 0.019866666666666668, 0.9503333333333334
3, Under80, 191, 140, 78, 78, 794, 0.6422018348623854, 0.6422018348623854, 0.9105504587155964, 0.5527522935779818, 0.8568807339449541, 0.14311926605504588, 0.6422018348623854
3, Over80, 191, 2711, 71, 71, 11057, 0.9744787922358016, 0.9744787922358016, 0.9936196980589503, 0.9680984902947518, 0.9897915168943207, 0.010208483105679367, 0.9744787922358016
4, All, 218, 2845, 155, 155, 11845, 0.9483333333333334, 0.9483333333333334, 0.9870833333333333, 0.9354166666666668, 0.9793333333333333, 0.020666666666666667, 0.9483333333333334
4, Under80, 218, 107, 86, 86, 686, 0.5544041450777202, 0.5544041450777202, 0.8886010362694301, 0.4430051813471503, 0.8217616580310881, 0.17823834196891192, 0.5544041450777202
4, Over80, 218, 2738, 69, 69, 11159, 0.9754185963662273, 0.9754185963662273, 0.9938546490915569, 0.9692732454577841, 0.9901674385464909, 0.009832561453509085, 0.9754185963662273
5, All, 193, 2845, 155, 155, 11845, 0.9483333333333334, 0.9483333333333334, 0.9870833333333333, 0.9354166666666668, 0.9793333333333333, 0.020666666666666667, 0.9483333333333334
5, Under80, 193, 153, 90, 90, 882, 0.6296296296296297, 0.6296296296296297, 0.9074074074074074, 0.5370370370370372, 0.8518518518518519, 0.14814814814814814, 0.6296296296296297
5, Over80, 193, 2692, 65, 65, 10963, 0.976423648893725, 0.976423648893725, 0.9941059122234313, 0.9705295611171563, 0.99056945955749, 0.009430540442509974, 0.976423648893725
6, All, 243, 2831, 169, 169, 11831, 0.9436666666666667, 0.9436666666666667, 0.9859166666666667, 0.9295833333333334, 0.9774666666666667, 0.022533333333333332, 0.9436666666666667
6, Under80, 243, 148, 87, 87, 853, 0.6297872340425532, 0.6297872340425532, 0.9074468085106383, 0.5372340425531914, 0.8519148936170213, 0.14808510638297873, 0.6297872340425532
6, Over80, 243, 2683, 82, 82, 10978, 0.9703435804701628, 0.9703435804701628, 0.9925858951175407, 0.9629294755877034, 0.988137432188065, 0.0118625678119349, 0.9703435804701628
7, All, 235, 2855, 145, 145, 11855, 0.9516666666666667, 0.9516666666666667, 0.9879166666666667, 0.9395833333333332, 0.9806666666666667, 0.019333333333333334, 0.9516666666666667
7, Under80, 235, 121, 70, 70, 694, 0.6335078534031413, 0.6335078534031413, 0.9083769633507853, 0.5418848167539267, 0.8534031413612565, 0.14659685863874344, 0.6335078534031413
7, Over80, 235, 2734, 75, 75, 11161, 0.9733001067995728, 0.9733001067995728, 0.9933250266998932, 0.966625133499466, 0.9893200427198291, 0.01067995728017088, 0.9733001067995728
8, All, 191, 2835, 165, 165, 11835, 0.945, 0.945, 0.98625, 0.9312499999999999, 0.978, 0.022, 0.945
8, Under80, 191, 153, 88, 88, 876, 0.6348547717842323, 0.6348547717842323, 0.9087136929460581, 0.5435684647302903, 0.8539419087136929, 0.14605809128630706, 0.6348547717842323
8, Over80, 191, 2682, 77, 77, 10959, 0.9720913374411019, 0.9720913374411019, 0.9930228343602755, 0.9651141718013774, 0.9888365349764408, 0.011163465023559261, 0.9720913374411019
9, All, 241, 2867, 133, 133, 11867, 0.9556666666666667, 0.9556666666666667, 0.9889166666666667, 0.9445833333333333, 0.9822666666666666, 0.017733333333333334, 0.9556666666666667
9, Under80, 241, 119, 83, 83, 725, 0.5891089108910891, 0.5891089108910891, 0.8972772277227723, 0.48638613861386126, 0.8356435643564356, 0.16435643564356436, 0.5891089108910891
9, Over80, 241, 2748, 50, 50, 11142, 0.9821300929235168, 0.9821300929235168, 0.9955325232308792, 0.977662616154396, 0.9928520371694067, 0.007147962830593281, 0.9821300929235168
10, All, 202, 2844, 156, 156, 11844, 0.948, 0.948, 0.987, 0.935, 0.9792, 0.0208, 0.948
10, Under80, 202, 143, 102, 102, 878, 0.5836734693877551, 0.5836734693877551, 0.8959183673469387, 0.47959183673469385, 0.833469387755102, 0.16653061224489796, 0.5836734693877551
10, Over80, 202, 2701, 54, 54, 10966, 0.980399274047187, 0.980399274047187, 0.9950998185117967, 0.9754990925589837, 0.9921597096188748, 0.007840290381125227, 0.980399274047187
