iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 578, 40, 22, 2360, 0.9633333333333334, 0.9352750809061489, 0.9833333333333333, 0.9466666666666668, 0.9793333333333333, 0.020666666666666667, 0.949096880131363
0, Under80, 0, 15, 13, 11, 121, 0.5769230769230769, 0.5357142857142857, 0.9029850746268657, 0.4799081515499426, 0.85, 0.15, 0.5555555555555555
0, Over80, 0, 563, 27, 11, 2239, 0.980836236933798, 0.9542372881355933, 0.9880847308031774, 0.9689209677369752, 0.9866197183098592, 0.013380281690140845, 0.9673539518900345
1, All, 160, 571, 37, 29, 2363, 0.9516666666666667, 0.9391447368421053, 0.9845833333333334, 0.93625, 0.978, 0.022, 0.9453642384105961
1, Under80, 160, 12, 23, 14, 105, 0.46153846153846156, 0.34285714285714286, 0.8203125, 0.2818509615384617, 0.7597402597402597, 0.24025974025974026, 0.3934426229508197
1, Over80, 160, 559, 14, 15, 2258, 0.9738675958188153, 0.9755671902268761, 0.9938380281690141, 0.9677056239878294, 0.9898102600140548, 0.010189739985945186, 0.974716652136007
2, All, 154, 580, 32, 20, 2368, 0.9666666666666667, 0.9477124183006536, 0.9866666666666667, 0.9533333333333334, 0.9826666666666667, 0.017333333333333333, 0.9570957095709571
2, Under80, 154, 24, 15, 9, 143, 0.7272727272727273, 0.6153846153846154, 0.9050632911392406, 0.632336018411968, 0.8743455497382199, 0.1256544502617801, 0.6666666666666667
2, Over80, 154, 556, 17, 11, 2225, 0.9805996472663139, 0.9703315881326352, 0.9924174843889384, 0.9730171316552523, 0.9900320398718405, 0.009967960128159488, 0.9754385964912281
3, All, 191, 573, 33, 27, 2367, 0.955, 0.9455445544554455, 0.98625, 0.9412499999999999, 0.98, 0.02, 0.9502487562189055
3, Under80, 191, 20, 19, 17, 162, 0.5405405405405406, 0.5128205128205128, 0.8950276243093923, 0.43556816484993277, 0.8348623853211009, 0.1651376146788991, 0.5263157894736842
3, Over80, 191, 553, 14, 10, 2205, 0.9822380106571936, 0.9753086419753086, 0.9936908517350158, 0.9759288623922093, 0.99137311286844, 0.008626887131560028, 0.9787610619469027
4, All, 218, 574, 43, 26, 2357, 0.9566666666666667, 0.9303079416531604, 0.9820833333333333, 0.93875, 0.977, 0.023, 0.943303204601479
4, Under80, 218, 19, 24, 16, 134, 0.5428571428571428, 0.4418604651162791, 0.8481012658227848, 0.3909584086799276, 0.7927461139896373, 0.20725388601036268, 0.48717948717948717
4, Over80, 218, 555, 19, 10, 2223, 0.9823008849557522, 0.9668989547038328, 0.9915254237288136, 0.9738263086845658, 0.9896686854292839, 0.010331314570716068, 0.9745390693590869
5, All, 193, 569, 43, 31, 2357, 0.9483333333333334, 0.9297385620915033, 0.9820833333333333, 0.9304166666666667, 0.9753333333333334, 0.024666666666666667, 0.9389438943894389
5, Under80, 193, 24, 22, 22, 175, 0.5217391304347826, 0.5217391304347826, 0.8883248730964467, 0.4100640035312293, 0.8189300411522634, 0.18106995884773663, 0.5217391304347826
5, Over80, 193, 545, 21, 9, 2182, 0.983754512635379, 0.9628975265017667, 0.9904675442578302, 0.9742220568932094, 0.9891186071817193, 0.01088139281828074, 0.9732142857142857
6, All, 243, 576, 51, 24, 2349, 0.96, 0.9186602870813397, 0.97875, 0.93875, 0.975, 0.025, 0.9388753056234719
6, Under80, 243, 25, 31, 12, 167, 0.6756756756756757, 0.44642857142857145, 0.8434343434343434, 0.5191100191100191, 0.8170212765957446, 0.1829787234042553, 0.5376344086021506
6, Over80, 243, 551, 20, 12, 2182, 0.9786856127886323, 0.9649737302977233, 0.9909173478655767, 0.9696029606542091, 0.9884267631103074, 0.011573236889692586, 0.9717813051146384
7, All, 235, 575, 25, 25, 2375, 0.9583333333333334, 0.9583333333333334, 0.9895833333333334, 0.9479166666666667, 0.9833333333333333, 0.016666666666666666, 0.9583333333333334
7, Under80, 235, 26, 14, 13, 138, 0.6666666666666666, 0.65, 0.9078947368421053, 0.5745614035087718, 0.8586387434554974, 0.14136125654450263, 0.6582278481012659
7, Over80, 235, 549, 11, 12, 2237, 0.9786096256684492, 0.9803571428571428, 0.9951067615658363, 0.9737163872342856, 0.991812032751869, 0.008187967248131008, 0.9794826048171276
8, All, 191, 579, 32, 21, 2368, 0.965, 0.9476268412438625, 0.9866666666666667, 0.9516666666666667, 0.9823333333333333, 0.017666666666666667, 0.9562345169281585
8, Under80, 191, 39, 19, 12, 171, 0.7647058823529411, 0.6724137931034483, 0.9, 0.664705882352941, 0.8713692946058091, 0.12863070539419086, 0.7155963302752292
8, Over80, 191, 540, 13, 9, 2197, 0.9836065573770492, 0.976491862567812, 0.9941176470588236, 0.9777242044358727, 0.9920260964117433, 0.007973903588256614, 0.9800362976406534
9, All, 241, 574, 28, 26, 2372, 0.9566666666666667, 0.9534883720930233, 0.9883333333333333, 0.9449999999999998, 0.982, 0.018, 0.9550748752079866
9, Under80, 241, 21, 17, 17, 147, 0.5526315789473685, 0.5526315789473685, 0.8963414634146342, 0.44897304236200264, 0.8316831683168316, 0.16831683168316833, 0.5526315789473685
9, Over80, 241, 553, 11, 9, 2225, 0.9839857651245552, 0.9804964539007093, 0.9950805008944544, 0.9790662660190095, 0.9928520371694067, 0.007147962830593281, 0.9822380106571936
10, All, 202, 559, 22, 41, 2378, 0.9316666666666666, 0.9621342512908778, 0.9908333333333333, 0.9224999999999999, 0.979, 0.021, 0.9466553767993227
10, Under80, 202, 33, 12, 31, 169, 0.515625, 0.7333333333333333, 0.9337016574585635, 0.4493266574585635, 0.8244897959183674, 0.17551020408163265, 0.6055045871559632
10, Over80, 202, 526, 10, 10, 2209, 0.9813432835820896, 0.9813432835820896, 0.9954934655250113, 0.9768367491071008, 0.9927404718693285, 0.007259528130671506, 0.9813432835820896
