iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 518, 29, 82, 2371, 0.8633333333333333, 0.946983546617916, 0.9879166666666667, 0.8512499999999998, 0.963, 0.037, 0.9032258064516129
0, Under80, 0, 38, 16, 17, 89, 0.6909090909090909, 0.7037037037037037, 0.8476190476190476, 0.5385281385281386, 0.79375, 0.20625, 0.6972477064220184
0, Over80, 0, 480, 13, 65, 2282, 0.8807339449541285, 0.973630831643002, 0.9943355119825708, 0.8750694569366992, 0.9725352112676057, 0.027464788732394368, 0.9248554913294799
1, All, 160, 535, 35, 65, 2365, 0.8916666666666667, 0.9385964912280702, 0.9854166666666667, 0.8770833333333334, 0.9666666666666667, 0.03333333333333333, 0.9145299145299146
1, Under80, 160, 32, 22, 23, 77, 0.5818181818181818, 0.5925925925925926, 0.7777777777777778, 0.3595959595959597, 0.7077922077922078, 0.2922077922077922, 0.5871559633027522
1, Over80, 160, 503, 13, 42, 2288, 0.9229357798165138, 0.9748062015503876, 0.9943502824858758, 0.9172860623023895, 0.9806746310611384, 0.01932536893886156, 0.948162111215834
2, All, 154, 545, 19, 55, 2381, 0.9083333333333333, 0.9663120567375887, 0.9920833333333333, 0.9004166666666666, 0.9753333333333334, 0.024666666666666667, 0.9364261168384881
2, Under80, 154, 62, 13, 22, 94, 0.7380952380952381, 0.8266666666666667, 0.8785046728971962, 0.6165999109924343, 0.8167539267015707, 0.18324607329842932, 0.779874213836478
2, Over80, 154, 483, 6, 33, 2287, 0.936046511627907, 0.9877300613496932, 0.9973833406018316, 0.9334298522297386, 0.9861160555357779, 0.013883944464222144, 0.9611940298507463
3, All, 191, 535, 24, 65, 2376, 0.8916666666666667, 0.9570661896243292, 0.99, 0.8816666666666668, 0.9703333333333334, 0.029666666666666668, 0.9232096635030199
3, Under80, 191, 73, 16, 29, 100, 0.7156862745098039, 0.8202247191011236, 0.8620689655172413, 0.5777552400270451, 0.7935779816513762, 0.20642201834862386, 0.7643979057591622
3, Over80, 191, 462, 8, 36, 2276, 0.927710843373494, 0.9829787234042553, 0.9964973730297724, 0.9242082164032663, 0.9841840402588066, 0.015815959741193385, 0.9545454545454546
