iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 2847, 153, 153, 14847, 0.949, 0.949, 0.9898, 0.9388000000000001, 0.983, 0.017, 0.949
0, Under80, 0, 119, 76, 76, 899, 0.6102564102564103, 0.6102564102564103, 0.9220512820512821, 0.5323076923076924, 0.8700854700854701, 0.12991452991452992, 0.6102564102564103
0, Over80, 0, 2728, 77, 77, 13948, 0.9725490196078431, 0.9725490196078431, 0.9945098039215686, 0.9670588235294117, 0.9908496732026144, 0.009150326797385621, 0.9725490196078431
0a, All, 0, 2831, 769, 769, 17231, 0.7863888888888889, 0.7863888888888889, 0.9572777777777778, 0.7436666666666667, 0.9287962962962963, 0.0712037037037037, 0.7863888888888889
0a, Under80, 0, 114, 260, 260, 1610, 0.3048128342245989, 0.3048128342245989, 0.8609625668449198, 0.1657754010695187, 0.768270944741533, 0.23172905525846701, 0.3048128342245989
0a, Over80, 0, 2717, 509, 509, 15621, 0.8422194668319901, 0.8422194668319901, 0.968443893366398, 0.8106633601983881, 0.9474064889439967, 0.05259351105600331, 0.8422194668319901
1, All, 374, 3466, 134, 134, 17866, 0.9627777777777777, 0.9627777777777777, 0.9925555555555555, 0.9553333333333334, 0.9875925925925926, 0.012407407407407407, 0.9627777777777777
1, Under80, 374, 140, 74, 74, 996, 0.6542056074766355, 0.6542056074766355, 0.930841121495327, 0.5850467289719625, 0.8847352024922118, 0.11526479750778816, 0.6542056074766355
1, Over80, 374, 3326, 60, 60, 16870, 0.9822799763733018, 0.9822799763733018, 0.9964559952746603, 0.978735971647962, 0.9940933254577673, 0.005906674542232723, 0.9822799763733018
2, All, 214, 3452, 148, 148, 17852, 0.9588888888888889, 0.9588888888888889, 0.9917777777777778, 0.9506666666666668, 0.9862962962962963, 0.013703703703703704, 0.9588888888888889
2, Under80, 214, 153, 76, 76, 1069, 0.6681222707423581, 0.6681222707423581, 0.9336244541484716, 0.6017467248908297, 0.8893740902474527, 0.11062590975254731, 0.6681222707423581
2, Over80, 214, 3299, 72, 72, 16783, 0.9786413527143281, 0.9786413527143281, 0.9957282705428656, 0.9743696232571937, 0.9928804509047761, 0.0071195490952239695, 0.9786413527143282
3, All, 229, 3432, 168, 168, 17832, 0.9533333333333334, 0.9533333333333334, 0.9906666666666667, 0.944, 0.9844444444444445, 0.015555555555555555, 0.9533333333333334
3, Under80, 229, 158, 84, 84, 1126, 0.6528925619834711, 0.6528925619834711, 0.9305785123966942, 0.5834710743801654, 0.8842975206611571, 0.11570247933884298, 0.6528925619834711
3, Over80, 229, 3274, 84, 84, 16706, 0.9749851101846337, 0.9749851101846337, 0.9949970220369267, 0.9699821322215605, 0.9916617033948779, 0.008338296605122097, 0.9749851101846337
4, All, 242, 3417, 183, 183, 17817, 0.9491666666666667, 0.9491666666666667, 0.9898333333333333, 0.9390000000000001, 0.9830555555555556, 0.016944444444444446, 0.9491666666666667
4, Under80, 242, 174, 107, 107, 1298, 0.6192170818505338, 0.6192170818505338, 0.9238434163701068, 0.5430604982206406, 0.8730723606168446, 0.1269276393831554, 0.6192170818505338
4, Over80, 242, 3243, 76, 76, 16519, 0.9771015366074118, 0.9771015366074118, 0.9954203073214823, 0.9725218439288943, 0.9923671788691373, 0.007632821130862709, 0.9771015366074118
5, All, 281, 3421, 179, 179, 17821, 0.9502777777777778, 0.9502777777777778, 0.9900555555555556, 0.9403333333333332, 0.9834259259259259, 0.016574074074074074, 0.9502777777777778
5, Under80, 281, 161, 103, 103, 1217, 0.6098484848484849, 0.6098484848484849, 0.921969696969697, 0.5318181818181817, 0.8699494949494949, 0.13005050505050506, 0.6098484848484849
5, Over80, 281, 3260, 76, 76, 16604, 0.9772182254196643, 0.9772182254196643, 0.9954436450839329, 0.9726618705035972, 0.9924060751398881, 0.007593924860111911, 0.9772182254196643
6, All, 264, 3422, 178, 178, 17822, 0.9505555555555556, 0.9505555555555556, 0.9901111111111112, 0.9406666666666668, 0.9835185185185186, 0.016481481481481482, 0.9505555555555556
6, Under80, 264, 196, 93, 93, 1352, 0.6782006920415224, 0.6782006920415224, 0.9356401384083045, 0.6138408304498268, 0.8927335640138409, 0.10726643598615918, 0.6782006920415224
6, Over80, 264, 3226, 85, 85, 16470, 0.9743279975838115, 0.9743279975838115, 0.9948655995167623, 0.9691935971005738, 0.9914426658612705, 0.008557334138729488, 0.9743279975838115
7, All, 289, 3454, 146, 146, 17854, 0.9594444444444444, 0.9594444444444444, 0.9918888888888889, 0.9513333333333334, 0.9864814814814815, 0.013518518518518518, 0.9594444444444444
7, Under80, 289, 183, 81, 81, 1239, 0.6931818181818182, 0.6931818181818182, 0.9386363636363636, 0.6318181818181818, 0.8977272727272727, 0.10227272727272728, 0.6931818181818182
7, Over80, 289, 3271, 65, 65, 16615, 0.980515587529976, 0.980515587529976, 0.9961031175059952, 0.9766187050359711, 0.9935051958433253, 0.00649480415667466, 0.980515587529976
8, All, 264, 3431, 169, 169, 17831, 0.9530555555555555, 0.9530555555555555, 0.9906111111111111, 0.9436666666666667, 0.9843518518518518, 0.015648148148148147, 0.9530555555555555
