iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 581, 13, 19, 2387, 0.9683333333333334, 0.9781144781144782, 0.9945833333333334, 0.9629166666666666, 0.9893333333333333, 0.010666666666666666, 0.9731993299832495
0, Under80, 0, 16, 7, 10, 162, 0.6153846153846154, 0.6956521739130435, 0.9585798816568047, 0.5739644970414202, 0.9128205128205128, 0.08717948717948718, 0.6530612244897959
0, Over80, 0, 565, 6, 9, 2225, 0.9843205574912892, 0.989492119089317, 0.997310623038996, 0.9816311805302851, 0.9946524064171123, 0.0053475935828877, 0.9868995633187773
0a, All, 0, 581, 198, 19, 2802, 0.9683333333333334, 0.7458279845956355, 0.934, 0.9023333333333334, 0.9397222222222222, 0.06027777777777778, 0.8426395939086295
0a, Under80, 0, 13, 54, 11, 296, 0.5416666666666666, 0.19402985074626866, 0.8457142857142858, 0.3873809523809524, 0.8262032085561497, 0.17379679144385027, 0.2857142857142857
0a, Over80, 0, 568, 144, 8, 2506, 0.9861111111111112, 0.797752808988764, 0.9456603773584905, 0.9317714884696016, 0.9528828270303782, 0.047117172969621826, 0.8819875776397516
1, All, 374, 582, 10, 18, 2990, 0.97, 0.9831081081081081, 0.9966666666666667, 0.9666666666666668, 0.9922222222222222, 0.0077777777777777776, 0.9765100671140939
1, Under80, 374, 13, 5, 9, 187, 0.5909090909090909, 0.7222222222222222, 0.9739583333333334, 0.5648674242424243, 0.9345794392523364, 0.06542056074766354, 0.65
1, Over80, 374, 569, 5, 9, 2803, 0.9844290657439446, 0.9912891986062717, 0.9982193732193733, 0.9826484389633179, 0.9958653278204371, 0.004134672179562906, 0.9878472222222221
2, All, 214, 589, 19, 11, 2981, 0.9816666666666667, 0.96875, 0.9936666666666667, 0.9753333333333334, 0.9916666666666667, 0.008333333333333333, 0.9751655629139073
2, Under80, 214, 18, 11, 5, 195, 0.782608695652174, 0.6206896551724138, 0.9466019417475728, 0.7292106373997469, 0.9301310043668122, 0.06986899563318777, 0.6923076923076923
2, Over80, 214, 571, 8, 6, 2786, 0.9896013864818024, 0.9861830742659758, 0.9971367215461704, 0.9867381080279727, 0.9958469296944527, 0.004153070305547315, 0.9878892733564014
3, All, 229, 590, 22, 10, 2978, 0.9833333333333333, 0.9640522875816994, 0.9926666666666667, 0.976, 0.9911111111111112, 0.008888888888888889, 0.9735973597359735
3, Under80, 229, 16, 9, 4, 213, 0.8, 0.64, 0.9594594594594594, 0.7594594594594595, 0.9462809917355371, 0.05371900826446281, 0.7111111111111111
3, Over80, 229, 574, 13, 6, 2765, 0.9896551724137931, 0.9778534923339012, 0.9953203743700504, 0.9849755467838435, 0.99434187016081, 0.005658129839189994, 0.9837189374464438
4, All, 242, 578, 24, 22, 2976, 0.9633333333333334, 0.9601328903654485, 0.992, 0.9553333333333334, 0.9872222222222222, 0.012777777777777779, 0.9617304492512478
4, Under80, 242, 20, 11, 16, 234, 0.5555555555555556, 0.6451612903225806, 0.9551020408163265, 0.5106575963718822, 0.9039145907473309, 0.09608540925266904, 0.5970149253731343
