iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 580, 40, 20, 2360, 0.9666666666666667, 0.9354838709677419, 0.9833333333333333, 0.95, 0.98, 0.02, 0.9508196721311476
0, Under80, 0, 20, 17, 14, 144, 0.5882352941176471, 0.5405405405405406, 0.8944099378881988, 0.48264523200584586, 0.841025641025641, 0.15897435897435896, 0.5633802816901409
0, Over80, 0, 560, 23, 6, 2216, 0.9893992932862191, 0.9605488850771869, 0.9897275569450648, 0.979126850231284, 0.9896613190730837, 0.01033868092691622, 0.9747606614447346
0a, All, 0, 574, 57, 26, 2943, 0.9566666666666667, 0.9096671949286846, 0.981, 0.9376666666666666, 0.9769444444444444, 0.023055555555555555, 0.9325751421608448
0a, Under80, 0, 21, 31, 16, 306, 0.5675675675675675, 0.40384615384615385, 0.9080118694362018, 0.47557943700376937, 0.8743315508021391, 0.12566844919786097, 0.47191011235955055
0a, Over80, 0, 553, 26, 10, 2637, 0.9822380106571936, 0.9550949913644214, 0.9902365752910252, 0.9724745859482189, 0.9888406695598264, 0.011159330440173589, 0.9684763572679509
1, All, 374, 580, 23, 20, 2977, 0.9666666666666667, 0.9618573797678275, 0.9923333333333333, 0.9590000000000001, 0.9880555555555556, 0.011944444444444445, 0.9642560266001663
1, Under80, 374, 23, 10, 12, 169, 0.6571428571428571, 0.696969696969697, 0.9441340782122905, 0.6012769353551475, 0.897196261682243, 0.102803738317757, 0.676470588235294
1, Over80, 374, 557, 13, 8, 2808, 0.9858407079646018, 0.9771929824561404, 0.9953917050691244, 0.9812324130337262, 0.9937979917306556, 0.0062020082693443595, 0.9814977973568283
2, All, 214, 583, 39, 17, 2961, 0.9716666666666667, 0.9372990353697749, 0.987, 0.9586666666666668, 0.9844444444444445, 0.015555555555555555, 0.9541734860883796
2, Under80, 214, 19, 17, 10, 183, 0.6551724137931034, 0.5277777777777778, 0.915, 0.5701724137931035, 0.8820960698689956, 0.11790393013100436, 0.5846153846153845
