iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 537, 27, 63, 2373, 0.895, 0.9521276595744681, 0.98875, 0.88375, 0.97, 0.03, 0.9226804123711341
0, Under80, 0, 44, 14, 22, 115, 0.6666666666666666, 0.7586206896551724, 0.8914728682170543, 0.558139534883721, 0.8153846153846154, 0.18461538461538463, 0.7096774193548386
0, Over80, 0, 493, 13, 41, 2258, 0.9232209737827716, 0.974308300395257, 0.9942756494936151, 0.9174966232763868, 0.9807486631016042, 0.019251336898395723, 0.9480769230769232
0a, All, 0, 536, 376, 64, 2624, 0.8933333333333333, 0.5877192982456141, 0.8746666666666667, 0.768, 0.8777777777777778, 0.12222222222222222, 0.7089947089947091
0a, Under80, 0, 49, 113, 19, 193, 0.7205882352941176, 0.30246913580246915, 0.630718954248366, 0.35130718954248374, 0.6470588235294118, 0.35294117647058826, 0.42608695652173906
0a, Over80, 0, 487, 263, 45, 2431, 0.9154135338345865, 0.6493333333333333, 0.9023756495916853, 0.8177891834262718, 0.9045257284562926, 0.09547427154370738, 0.7597503900156007
1, All, 374, 551, 24, 49, 2976, 0.9183333333333333, 0.9582608695652174, 0.992, 0.9103333333333334, 0.9797222222222223, 0.020277777777777777, 0.9378723404255319
1, Under80, 374, 48, 18, 23, 125, 0.676056338028169, 0.7272727272727273, 0.8741258741258742, 0.5501822121540432, 0.8084112149532711, 0.19158878504672897, 0.7007299270072992
1, Over80, 374, 503, 6, 26, 2851, 0.9508506616257089, 0.9882121807465619, 0.9978998949947497, 0.9487505566204586, 0.9905493207324276, 0.009450679267572357, 0.9691714836223506
2, All, 214, 536, 28, 64, 2972, 0.8933333333333333, 0.950354609929078, 0.9906666666666667, 0.8839999999999999, 0.9744444444444444, 0.025555555555555557, 0.9209621993127147
2, Under80, 214, 60, 19, 24, 126, 0.7142857142857143, 0.759493670886076, 0.8689655172413793, 0.5832512315270937, 0.8122270742358079, 0.18777292576419213, 0.736196319018405
2, Over80, 214, 476, 9, 40, 2846, 0.9224806201550387, 0.9814432989690721, 0.9968476357267951, 0.9193282558818339, 0.9854642539305843, 0.014535746069415604, 0.9510489510489509
3, All, 229, 527, 25, 73, 2975, 0.8783333333333333, 0.9547101449275363, 0.9916666666666667, 0.8700000000000001, 0.9727777777777777, 0.02722222222222222, 0.9149305555555556
3, Under80, 229, 65, 18, 28, 131, 0.6989247311827957, 0.7831325301204819, 0.8791946308724832, 0.5781193620552789, 0.8099173553719008, 0.19008264462809918, 0.7386363636363636
