iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 0, 0, 0, 3000, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN
0, Under80, 0, 0, 0, 0, 195, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN
0, Over80, 0, 0, 0, 0, 2805, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN
0a, All, 0, 0, 0, 600, 3000, 0.0, NaN, 1.0, 0.0, 0.8333333333333334, 0.16666666666666666, NaN
0a, Under80, 0, 0, 0, 183, 191, 0.0, NaN, 1.0, 0.0, 0.5106951871657754, 0.4893048128342246, NaN
0a, Over80, 0, 0, 0, 417, 2809, 0.0, NaN, 1.0, 0.0, 0.870737755734656, 0.12926224426534408, NaN
1, All, 374, 588, 27, 12, 2973, 0.98, 0.9560975609756097, 0.991, 0.9710000000000001, 0.9891666666666666, 0.010833333333333334, 0.9679012345679012
1, Under80, 374, 9, 15, 10, 180, 0.47368421052631576, 0.375, 0.9230769230769231, 0.39676113360323884, 0.883177570093458, 0.11682242990654206, 0.4186046511627907
1, Over80, 374, 579, 12, 2, 2793, 0.9965576592082617, 0.9796954314720813, 0.9957219251336898, 0.9922795843419516, 0.9958653278204371, 0.004134672179562906, 0.9880546075085324
2, All, 214, 588, 22, 12, 2978, 0.98, 0.9639344262295082, 0.9926666666666667, 0.9726666666666666, 0.9905555555555555, 0.009444444444444445, 0.9719008264462811
2, Under80, 214, 9, 10, 7, 203, 0.5625, 0.47368421052631576, 0.9530516431924883, 0.5155516431924883, 0.925764192139738, 0.07423580786026202, 0.5142857142857142
2, Over80, 214, 579, 12, 5, 2775, 0.9914383561643836, 0.9796954314720813, 0.9956942949407965, 0.9871326511051801, 0.9949569860575497, 0.005043013942450311, 0.985531914893617
3, All, 229, 591, 22, 9, 2978, 0.985, 0.964110929853181, 0.9926666666666667, 0.9776666666666667, 0.9913888888888889, 0.008611111111111111, 0.9744435284418796
3, Under80, 229, 9, 8, 4, 221, 0.6923076923076923, 0.5294117647058824, 0.9650655021834061, 0.6573731944910985, 0.9504132231404959, 0.049586776859504134, 0.5999999999999999
3, Over80, 229, 582, 14, 5, 2757, 0.9914821124361158, 0.9765100671140939, 0.9949476723204619, 0.9864297847565777, 0.99434187016081, 0.005658129839189994, 0.9839391377852916
4, All, 242, 586, 34, 14, 2966, 0.9766666666666667, 0.9451612903225807, 0.9886666666666667, 0.9653333333333334, 0.9866666666666667, 0.013333333333333334, 0.9606557377049181
4, Under80, 242, 10, 18, 4, 249, 0.7142857142857143, 0.35714285714285715, 0.9325842696629213, 0.6468699839486356, 0.9217081850533808, 0.07829181494661921, 0.4761904761904762
4, Over80, 242, 576, 16, 10, 2717, 0.9829351535836177, 0.972972972972973, 0.9941456275155507, 0.9770807810991684, 0.9921663151551672, 0.00783368484483278, 0.9779286926994907
5, All, 281, 586, 22, 14, 2978, 0.9766666666666667, 0.9638157894736842, 0.9926666666666667, 0.9693333333333334, 0.99, 0.01, 0.9701986754966887
5, Under80, 281, 13, 8, 10, 233, 0.5652173913043478, 0.6190476190476191, 0.966804979253112, 0.5320223705574598, 0.9318181818181818, 0.06818181818181818, 0.5909090909090909
5, Over80, 281, 573, 14, 4, 2745, 0.9930675909878682, 0.9761499148211243, 0.9949256977165639, 0.9879932887044323, 0.9946043165467626, 0.00539568345323741, 0.9845360824742267
6, All, 264, 589, 26, 11, 2974, 0.9816666666666667, 0.9577235772357724, 0.9913333333333333, 0.9729999999999999, 0.9897222222222222, 0.010277777777777778, 0.9695473251028807
6, Under80, 264, 11, 12, 5, 261, 0.6875, 0.4782608695652174, 0.9560439560439561, 0.6435439560439562, 0.9411764705882353, 0.058823529411764705, 0.5641025641025642
6, Over80, 264, 578, 14, 6, 2713, 0.9897260273972602, 0.9763513513513513, 0.9948661532819949, 0.9845921806792552, 0.9939595288432498, 0.006040471156750227, 0.9829931972789115
7, All, 289, 598, 27, 2, 2973, 0.9966666666666667, 0.9568, 0.991, 0.9876666666666667, 0.9919444444444444, 0.008055555555555555, 0.976326530612245
7, Under80, 289, 4, 12, 2, 246, 0.6666666666666666, 0.25, 0.9534883720930233, 0.6201550387596899, 0.946969696969697, 0.05303030303030303, 0.36363636363636365
7, Over80, 289, 594, 15, 0, 2727, 1.0, 0.9753694581280788, 0.9945295404814004, 0.9945295404814005, 0.9955035971223022, 0.0044964028776978415, 0.9875311720698255
8, All, 264, 591, 31, 9, 2969, 0.985, 0.9501607717041801, 0.9896666666666667, 0.9746666666666668, 0.9888888888888889, 0.011111111111111112, 0.9672667757774142
8, Under80, 264, 5, 17, 3, 251, 0.625, 0.22727272727272727, 0.9365671641791045, 0.5615671641791045, 0.927536231884058, 0.07246376811594203, 0.3333333333333333
