iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 572, 41, 28, 2359, 0.9533333333333334, 0.933115823817292, 0.9829166666666667, 0.93625, 0.977, 0.023, 0.9431162407254741
0, Under80, 0, 29, 21, 15, 130, 0.6590909090909091, 0.58, 0.8609271523178808, 0.5200180614087899, 0.8153846153846154, 0.18461538461538463, 0.6170212765957446
0, Over80, 0, 543, 20, 13, 2229, 0.9766187050359713, 0.9644760213143873, 0.9911071587372166, 0.9677258637731878, 0.9882352941176471, 0.011764705882352941, 0.9705093833780161
0a, All, 0, 566, 49, 34, 2951, 0.9433333333333334, 0.9203252032520325, 0.9836666666666667, 0.927, 0.9769444444444444, 0.023055555555555555, 0.9316872427983539
0a, Under80, 0, 22, 19, 21, 312, 0.5116279069767442, 0.5365853658536586, 0.9425981873111783, 0.4542260942879226, 0.893048128342246, 0.10695187165775401, 0.5238095238095238
0a, Over80, 0, 544, 30, 13, 2639, 0.9766606822262118, 0.9477351916376306, 0.9887598351442488, 0.9654205173704606, 0.9866707997520149, 0.013329200247985121, 0.9619805481874447
1, All, 374, 577, 30, 23, 2970, 0.9616666666666667, 0.9505766062602965, 0.99, 0.9516666666666667, 0.9852777777777778, 0.014722222222222222, 0.956089478044739
1, Under80, 374, 34, 15, 15, 150, 0.6938775510204082, 0.6938775510204082, 0.9090909090909091, 0.6029684601113172, 0.8598130841121495, 0.14018691588785046, 0.6938775510204082
1, Over80, 374, 543, 15, 8, 2820, 0.985480943738657, 0.9731182795698925, 0.9947089947089947, 0.9801899384476518, 0.9932073242764323, 0.006792675723567632, 0.9792605951307485
2, All, 214, 572, 19, 28, 2981, 0.9533333333333334, 0.9678510998307953, 0.9936666666666667, 0.9470000000000001, 0.9869444444444444, 0.013055555555555556, 0.9605373635600336
2, Under80, 214, 26, 10, 22, 171, 0.5416666666666666, 0.7222222222222222, 0.9447513812154696, 0.4864180478821363, 0.8602620087336245, 0.13973799126637554, 0.619047619047619
