iteration, group, reviewedItemsCount, tp, fp, fn, tn, tpr, ppv, tnr, bm, acc, err, f1
0, All, 0, 577, 32, 23, 2368, 0.9616666666666667, 0.9474548440065681, 0.9866666666666667, 0.9483333333333333, 0.9816666666666667, 0.018333333333333333, 0.9545078577336642
0, Under80, 0, 10, 17, 15, 153, 0.4, 0.37037037037037035, 0.9, 0.30000000000000004, 0.8358974358974359, 0.1641025641025641, 0.3846153846153846
0, Over80, 0, 567, 15, 8, 2215, 0.9860869565217392, 0.9742268041237113, 0.9932735426008968, 0.9793604991226359, 0.9918003565062389, 0.00819964349376114, 0.9801210025929128
0a, All, 0, 574, 89, 26, 2911, 0.9566666666666667, 0.8657616892911011, 0.9703333333333334, 0.927, 0.9680555555555556, 0.03194444444444444, 0.9089469517022962
0a, Under80, 0, 9, 43, 10, 312, 0.47368421052631576, 0.17307692307692307, 0.8788732394366198, 0.3525574499629356, 0.8582887700534759, 0.14171122994652408, 0.2535211267605634
0a, Over80, 0, 565, 46, 16, 2599, 0.9724612736660929, 0.9247135842880524, 0.9826086956521739, 0.9550699693182669, 0.9807811531308122, 0.019218846869187848, 0.9479865771812082
1, All, 374, 588, 20, 12, 2980, 0.98, 0.9671052631578947, 0.9933333333333333, 0.9733333333333332, 0.9911111111111112, 0.008888888888888889, 0.9735099337748344
1, Under80, 374, 13, 11, 5, 185, 0.7222222222222222, 0.5416666666666666, 0.9438775510204082, 0.6660997732426304, 0.9252336448598131, 0.07476635514018691, 0.619047619047619
1, Over80, 374, 575, 9, 7, 2795, 0.9879725085910653, 0.9845890410958904, 0.9967902995720399, 0.9847628081631052, 0.9952746603662138, 0.004725339633786178, 0.9862778730703259
2, All, 214, 584, 21, 16, 2979, 0.9733333333333334, 0.9652892561983472, 0.993, 0.9663333333333335, 0.9897222222222222, 0.010277777777777778, 0.9692946058091287
2, Under80, 214, 21, 9, 8, 191, 0.7241379310344828, 0.7, 0.955, 0.6791379310344827, 0.925764192139738, 0.07423580786026202, 0.711864406779661
2, Over80, 214, 563, 12, 8, 2788, 0.9859894921190894, 0.9791304347826087, 0.9957142857142857, 0.981703777833375, 0.9940670424206467, 0.0059329575793533075, 0.9825479930191973
3, All, 229, 579, 31, 21, 2969, 0.965, 0.9491803278688524, 0.9896666666666667, 0.9546666666666668, 0.9855555555555555, 0.014444444444444444, 0.9570247933884297
3, Under80, 229, 11, 14, 11, 206, 0.5, 0.44, 0.9363636363636364, 0.4363636363636365, 0.8966942148760331, 0.10330578512396695, 0.46808510638297873
3, Over80, 229, 568, 17, 10, 2763, 0.9826989619377162, 0.9709401709401709, 0.9938848920863309, 0.9765838540240472, 0.9919594997022037, 0.008040500297796307, 0.9767841788478073
4, All, 242, 585, 31, 15, 2969, 0.975, 0.9496753246753247, 0.9896666666666667, 0.9646666666666666, 0.9872222222222222, 0.012777777777777779, 0.962171052631579
4, Under80, 242, 15, 18, 11, 237, 0.5769230769230769, 0.45454545454545453, 0.9294117647058824, 0.5063348416289593, 0.896797153024911, 0.10320284697508897, 0.5084745762711863
4, Over80, 242, 570, 13, 4, 2732, 0.9930313588850174, 0.9777015437392796, 0.995264116575592, 0.9882954754606095, 0.9948779752937632, 0.005122024706236818, 0.9853068280034573
